Question,Accepted Answer,Paraphrased Question
Can't get grunt-browser-sync in Cloud9-IDE to work,"<p>You are configuring BrowserSync to proxy from port 8080 to 8010 and then opening non proxied page at 8080.</p>

<p>You should use something like</p>

<pre><code>var gulp = require('gulp');
var php = require('gulp-connect-php');
var browserSync = require('browser-sync');
var sass = require('gulp-sass');

gulp.task('serve-php', function() {
    php.server({
        hostname: '0.0.0.0',
        port: 8081
    }); // Open php-server running on localhost and port 8081
});

// Compile and automatically prefix stylesheets
gulp.task('styles', () =&gt; {
    return gulp.src(['assets/css/main.scss'])
        .pipe(sass())
        .on('error', console.log.bind(console))
        .pipe(gulp.dest('assets/css/'));
});


gulp.task('default', ['serve-php', 'styles'], () =&gt; {
    browserSync.init({
        // https: true,
        proxy: 'localhost:8081',
        port: 8080,
        ui: {
            port: 8082
        }
    });

    gulp.watch(['*.php'], browserSync.reload);
    gulp.watch(['assets/css/layout/*.sass'], ['styles', browserSync.reload]);

});
</code></pre>

<p>with this
<code>https://&lt;workspace_name&gt;-&lt;username&gt;.c9.io</code> - will be your page with browserSource
<code>https://&lt;workspace_name&gt;-&lt;username&gt;.c9.io:8081</code> - will be your page without browserSource
<code>https://&lt;workspace_name&gt;-&lt;username&gt;.c9.io:8082</code> - will be browserSource ui</p>

<p>Unfortunately there is a bug in browserSync not allowing it to work when served from https, 
<a href=""https://github.com/BrowserSync/browser-sync/issues/883"" rel=""nofollow"">https://github.com/BrowserSync/browser-sync/issues/883</a></p>

<p>as a workaround find <a href=""https://github.com/BrowserSync/browser-sync/blob/1d86f1a8bae3d9228f732d3022644c2ebe521186/lib/templates/connector.tmpl"" rel=""nofollow"">connector.tmpl</a> file in node_modules/browser-sync and replace</p>

<pre><code>___browserSync___.socket = ___browserSync___.io(%url%, ___browserSync___.socketConfig);
</code></pre>

<p>line with </p>

<pre><code>var url = %url%;
if (/https:/.test(location.href)) url = url.replace(/^http:/, ""https:"");
___browserSync___.socket = ___browserSync___.io(url, ___browserSync___.socketConfig);
</code></pre>
",Having trouble setting up grunt-browser-sync in the Cloud9 development environment?
optimize a string query with pandas. large data,"<p><strong>Setup</strong></p>

<pre><code>df = pd.DataFrame(data=[['Paris'+str(i),i] for i in range(100000)]*10,columns=['city','value'])
</code></pre>

<p><strong>Baseline</strong></p>

<pre><code>df2 = df.set_index('city')
%timeit df2.loc[['Paris9999']]
10 loops, best of 3: 45.6 ms per loop
</code></pre>

<p><strong>Solution</strong></p>

<p>Using a lookup dict and then use iloc:</p>

<pre><code>idx_dict = df.groupby(by='city').apply(lambda x: x.index.tolist()).to_dict()

%timeit df.iloc[d['Paris9999']]
1000 loops, best of 3: 432 µs per loop
</code></pre>

<p>It seems this approach is almost 100 times faster than the baseline.</p>

<p><strong>Comparing to other approaches:</strong></p>

<pre><code>%timeit df2[df2.index.values==""Paris9999""]
100 loops, best of 3: 16.7 ms per loop

%timeit full_array_based(df2, ""Paris9999"")
10 loops, best of 3: 19.6 ms per loop
</code></pre>
",Enhancing string search efficiency using pandas with extensive datasets.
Generate encoding String according to creation order,"<p>What you want is <code>SELECT MAX(id)</code> or <code>SELECT MAX(some_function(id))</code> inside the transaction.</p>

<p>As suggested in Oded's answer a lot of databases have their own methods of providing sequences which are more efficient and depending on the DBMS might support non numeric ids.</p>

<p>Also you could have id broken down into Y and 00001 as separate columns and having both columns make up primary key; then most databases would be able to provide the sequence.</p>

<p>However this leads to the question if your primary key should have a meaning or not; <code>Y</code> suggest that there is some meaning in the part of the key (otherwise you would be content with a plain integer id).</p>
",Create a string representation based on the sequence of creation.
How to convert ResultSet into a useful integer?,"<p>A <code>ResultSet</code> has a series of <code>getXYZ(int)</code> methods to retrieve columns from it by their relative index and corresponding <code>getXYZ(String)</code> methods to retrieve those columns by their alias. In your case, using the index variant  <a href=""https://docs.oracle.com/javase/8/docs/api/java/sql/ResultSet.html#getInt-int-""><code>getInt(int)</code></a> would be the easiest:</p>

<pre><code>recordNumber = resultSet.getInt(1);
</code></pre>
",What methods can be used to transform a ResultSet into an actionable integer value?
Inheritance-aware class to value map to replace series of `instanceof`,"<p>A map will do. If you want class inheritance, you'll need to walk upwards.</p>

<pre><code>private final Map&lt;Class&lt;?&gt;, Object&gt; map = HashMap&lt;&gt;();

public void register(Class&lt;?&gt; clazz, Object value) {
    map.put(clazz, value);
}

public Object getValue(Class&lt;?&gt; clazz) {
    if (clazz == null) {
        return null;
    }
    Object value = map.get(clazz);
    if (value == null) {
        clazz = clazz.getSuperclass(); // May be null.
        return getValue(clazz);
    }
}
</code></pre>

<p>This will do nicely for <code>int.class</code> etcetera.</p>

<p>If there exists a relation between value and class:</p>

<pre><code>public &lt;T&gt; T getValue(Class&lt;T&gt; clazz) {
    Object value = map.get(clazz);
    return clazz.cast(value);
}
</code></pre>
",Class-to-value mapping that recognizes inheritance to eliminate multiple `instanceof` checks
inherit prototype to all child elements in JavaScript,"<p>If I understand your question, you want this :</p>

<pre><code>Element.prototype.clickMe = function (func) {
    this.addEventListener('click', function () {
        func();
    });
};
</code></pre>

<p><a href=""http://jsbin.com/EdOGiGI/1/"" rel=""nofollow"">Demonstration</a></p>

<p>But changing the prototype of native objects is generally seen as a bad practice. See <a href=""http://www.nczonline.net/blog/2010/03/02/maintainable-javascript-dont-modify-objects-you-down-own/"" rel=""nofollow"">Maintainable JavaScript: Don’t modify objects you don’t own</a></p>
",How can I apply prototype inheritance to every descendant element in JavaScript?
Context manager for Python's MySQLdb,"<p><a href=""https://stackoverflow.com/a/22840557/190597"">Previously</a>, MySQLdb connections were context managers.
As of <a href=""https://github.com/PyMySQL/mysqlclient-python/commit/c64915b1e5c705f4fb10e86db5dcfed0b58552cc"" rel=""noreferrer"">this commit on 2018-12-04</a>, however, MySQLdb connections are no longer context managers,
and users must explicitly call conn.commit() or conn.rollback(), or write their own context manager, such as the one below.</p>

<hr>

<p>You could use something like this:</p>

<pre><code>import config
import MySQLdb
import MySQLdb.cursors as mc
import _mysql_exceptions
import contextlib
DictCursor = mc.DictCursor
SSCursor = mc.SSCursor
SSDictCursor = mc.SSDictCursor
Cursor = mc.Cursor

@contextlib.contextmanager
def connection(cursorclass=Cursor,
               host=config.HOST, user=config.USER,
               passwd=config.PASS, dbname=config.MYDB,
               driver=MySQLdb):
    connection = driver.connect(
            host=host, user=user, passwd=passwd, db=dbname,
            cursorclass=cursorclass)
    try:
        yield connection
    except Exception:
        connection.rollback()
        raise
    else:
        connection.commit()
    finally:
        connection.close()

@contextlib.contextmanager
def cursor(cursorclass=Cursor, host=config.HOST, user=config.USER,
           passwd=config.PASS, dbname=config.MYDB):
    with connection(cursorclass, host, user, passwd, dbname) as conn:
        cursor = conn.cursor()
        try:
            yield cursor
        finally:
            cursor.close()


with cursor(SSDictCursor) as cur:
    print(cur)
    connection = cur.connection
    print(connection)
    sql = 'select * from table'
    cur.execute(sql)
    for row in cur:
        print(row)
</code></pre>

<p>To use it you would place <code>config.py</code> in your PYTHONPATH and define the HOST, USER, PASS, MYDB variables there.</p>
",Utilizing context management with MySQLdb in Python
Upload a file to AWS from client-side javascript,"<p>AWS provides SDK for browser.</p>

<p>Step should be</p>

<ol>
<li><p>To configure SDK</p></li>
<li><p>To upload a your json (in S3 it is known as object) to bucket with validation. i.e. in case file already exists don't upload Else upload it.</p></li>
</ol>

<p>Ref: <a href=""https://docs.aws.amazon.com/sdk-for-javascript/v2/developer-guide/s3-example-photo-album.html"" rel=""nofollow noreferrer"">https://docs.aws.amazon.com/sdk-for-javascript/v2/developer-guide/s3-example-photo-album.html</a></p>
",How can I transfer a file to AWS using JavaScript running in the browser?
What is the way to use sqlserver with javascript on asp.net?,"<p>You'll need <strong>some</strong> kind of server-side piece. You can't use JavaScript on the client to talk directly to an SQL Server instance. Even if you could hook it up in terms of the protocol and port and such, A) You'd have problems with security policies, and B) It would be a Really, Really Bad Idea to allow clients direct access to the DB.</p>

<p>So the typical architecture is: <strong>Client</strong> -> <strong>mid-tier</strong> -> <strong>database</strong></p>

<p>These days it's not atypical for the mid-tier to be some kind of web service exposing a REST, XML, or JSON API.</p>

<p>You have lots and lots of choices for the mid-tier. Certainly C# and ASP.Net is one choice, but only one. There's Ruby on Rails, there's any number of JVM-based frameworks (Java EE, Play!, ...), there's PHP, there's Node.js...</p>

<p>I suppose one choice for the mid-tier is SQL Server itself. SQL Server 2005 offers a <a href=""http://msdn.microsoft.com/en-us/library/ms345123%28v=sql.90%29.aspx"" rel=""nofollow"">built-in set of web services you can enable via SOAP/HTTP</a>. You would probably still run into issues with the <a href=""http://en.wikipedia.org/wiki/Same_origin_policy"" rel=""nofollow"">Same Origin Policy</a>, since I assume you won't be serving your web pages from the SQL Server. :-) Or maybe you could get around that, by configuring IIS to proxy for the SQL Server's SOAP/HTTP stuff and also to serve your pages, so they'd all be on the same origin (the host and port of the IIS server).</p>
",How can one integrate SQL Server with JavaScript in an ASP.NET environment?
How to maximise Screen use in Pupeteer ( non-headless ),"<p>You probably would want to set a certain screen size, which any real browser has: </p>

<pre><code>const puppeteer = require('puppeteer');

(async () =&gt; {
  const browser = await puppeteer.launch();
  const page = await browser.newPage();
  await page.setViewport({ width: 1366, height: 768});
  await page.goto('https://example.com', {waitUntil: 'networkidle2'});
  await page.screenshot({path: 'example.png'});

  browser.close();
})();
</code></pre>
",What are the best strategies for optimizing screen utilization in Puppeteer when operating in non-headless mode?
